Accident_area,Sex_of_Casualty,Age_of_Casualty,Driver_education,Driver_Sex,Cause_of_Accident,Accide_type,Road_type,Road_Geometry,Road_Condition,Driver_experiance,vehicle_type,Vichle_Service,Road_Surface,Weather_Condition,Light_Condition,time,Driver_age,Accident_Factor
1,0,0.4787234042553191,3,1,5,3,0,3,0,10,16,0.4787234042553191,0,2,0,2,0.5208333333333333,1
1,0,0.24468085106382978,3,1,3,3,0,3,0,11,11,0.24468085106382978,0,2,0,2,0.5833333333333333,0
0,0,0.3829787234042553,3,1,5,3,0,3,0,10,7,0.3829787234042553,0,2,0,0,0.3125,1
1,0,0.2978723404255319,3,1,2,1,0,3,0,4,12,0.2978723404255319,0,2,0,2,0.16666666666666666,1
0,1,0.2553191489361702,3,1,2,1,0,3,0,4,12,0.2553191489361702,0,2,0,2,0.08333333333333333,1
1,1,0.6170212765957447,0,1,1,0,0,3,0,12,12,0.6170212765957447,0,1,0,2,0.10416666666666666,1
1,1,0.1702127659574468,0,1,1,0,0,3,0,12,4,0.1702127659574468,0,1,0,2,0.7916666666666666,1
1,1,0.2978723404255319,0,1,1,0,0,3,0,9,4,0.2978723404255319,0,1,0,2,0.125,1
0,1,0.2553191489361702,2,1,5,3,0,3,0,18,4,0.2553191489361702,3,2,0,2,0.3958333333333333,1
0,1,0.5106382978723404,3,1,0,3,0,3,0,8,4,0.5106382978723404,3,2,0,0,0.2708333333333333,2
1,0,0.3404255319148936,3,1,2,3,0,0,1,9,9,0.3404255319148936,3,0,1,1,0.16666666666666666,1
1,0,0.3829787234042553,3,1,2,3,0,0,1,9,11,0.3829787234042553,3,0,1,1,0.08333333333333333,1
1,0,0.7021276595744681,3,1,0,3,0,3,0,15,11,0.7021276595744681,0,0,1,1,0.5833333333333333,2
1,0,0.2553191489361702,3,1,1,3,1,4,1,24,1,0.2553191489361702,0,2,0,2,0.25,3
0,1,0.2978723404255319,0,1,5,0,0,0,1,8,7,0.2978723404255319,0,1,0,0,0.3125,1
1,1,0.30851063829787234,0,1,5,0,0,0,1,8,11,0.30851063829787234,0,1,0,0,0.14583333333333331,1
1,1,0.2978723404255319,0,1,5,0,0,0,1,8,8,0.2978723404255319,0,1,0,0,0.1875,1
1,1,0.4574468085106383,2,1,5,0,0,0,1,8,2,0.4574468085106383,0,1,0,0,0.29166666666666663,1
0,1,0.26595744680851063,3,1,5,3,0,3,0,14,4,0.26595744680851063,3,1,0,2,0.08333333333333333,1
1,1,0.3723404255319149,3,1,5,3,0,3,0,10,12,0.3723404255319149,0,1,0,0,0.16666666666666666,1
1,1,0.4148936170212766,3,1,5,1,0,3,0,12,12,0.4148936170212766,0,1,0,0,0.1875,1
1,1,0.3191489361702128,3,1,5,3,0,3,0,8,7,0.3191489361702128,0,1,0,2,0.16666666666666666,1
0,1,0.24468085106382978,3,1,3,3,0,3,0,8,7,0.24468085106382978,3,0,1,1,0.47916666666666663,0
0,1,0.1595744680851064,0,1,1,3,0,3,0,8,7,0.1595744680851064,3,0,1,1,0.10416666666666666,1
1,1,0.3829787234042553,0,1,7,0,0,3,0,11,2,0.3829787234042553,0,2,0,0,0.29166666666666663,3
1,1,0.5531914893617021,0,1,7,0,0,3,0,11,7,0.5531914893617021,0,2,0,0,0.3958333333333333,3
1,1,0.5638297872340425,2,1,2,1,0,3,0,10,7,0.5638297872340425,0,2,1,1,0.20833333333333331,1
0,1,0.7127659574468085,3,1,2,1,0,3,0,10,4,0.7127659574468085,0,2,1,1,0.5833333333333333,1
1,0,0.3191489361702128,3,1,5,3,0,3,0,10,6,0.3191489361702128,0,2,0,0,0.375,1
0,1,0.7127659574468085,3,1,5,0,0,3,0,1,0,0.7127659574468085,0,2,0,2,0.3125,1
1,1,0.9468085106382979,3,1,5,3,0,3,0,12,0,0.9468085106382979,0,2,0,2,0.6666666666666666,1
1,0,0.4361702127659574,3,1,5,3,0,3,0,12,0,0.4361702127659574,0,2,0,2,0.6875,1
1,1,0.5319148936170213,0,1,5,3,0,3,0,28,0,0.5319148936170213,0,2,0,0,0.9375,1
0,1,0.11702127659574468,0,1,5,3,0,3,0,24,4,0.11702127659574468,0,2,0,0,0.20833333333333331,1
1,1,0.23404255319148937,0,1,5,0,0,3,0,9,4,0.23404255319148937,0,2,0,2,0.9375,1
1,1,0.2553191489361702,2,1,5,0,0,3,0,9,16,0.2553191489361702,0,2,0,2,0.08333333333333333,1
0,0,0.28723404255319146,3,1,5,0,0,3,0,9,16,0.28723404255319146,3,0,0,2,0.4375,1
1,1,0.44680851063829785,3,1,5,0,0,3,0,9,16,0.44680851063829785,0,1,1,1,0.625,1
1,1,0.24468085106382978,3,1,5,0,0,3,0,9,7,0.24468085106382978,0,1,1,1,0.29166666666666663,1
1,1,0.5851063829787234,3,1,5,0,0,3,0,9,7,0.5851063829787234,0,1,1,1,0.041666666666666664,1
1,1,0.7659574468085106,3,1,5,3,0,3,0,8,7,0.7659574468085106,3,0,0,2,0.14583333333333331,1
1,1,0.5106382978723404,0,1,5,3,0,3,0,8,7,0.5106382978723404,0,0,0,2,0.125,1
1,1,0.23404255319148937,0,1,1,0,0,0,1,16,7,0.23404255319148937,3,0,0,2,0.08333333333333333,1
1,1,0.11702127659574468,0,1,1,0,0,0,1,16,7,0.11702127659574468,3,0,0,2,0.14583333333333331,1
1,1,0.2127659574468085,2,1,1,0,0,0,1,16,7,0.2127659574468085,3,0,0,2,0.4583333333333333,1
0,1,0.07446808510638298,3,1,1,0,0,3,0,18,7,0.07446808510638298,3,0,0,0,0.5833333333333333,1
0,1,0.32978723404255317,3,1,1,0,0,3,0,18,7,0.32978723404255317,3,0,0,0,0.7291666666666666,1
1,0,0.22340425531914893,3,1,1,0,0,3,0,18,7,0.22340425531914893,3,0,0,0,0.22916666666666666,1
1,0,0.22340425531914893,3,1,1,0,0,3,0,18,7,0.22340425531914893,3,0,0,0,0.5833333333333333,1
0,1,0.4148936170212766,3,1,1,0,0,3,0,18,11,0.4148936170212766,3,0,0,0,0.041666666666666664,1
0,1,0.28723404255319146,0,1,1,0,0,3,0,18,11,0.28723404255319146,3,0,0,0,0.29166666666666663,1
